Threshold	Present_genes
135	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
140	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
145	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
150	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
155	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
160	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
165	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
170	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
175	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
180	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
185	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
190	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
195	GCF-005706655-protein1.fasta GCF-005706655-protein11.fasta GCF-005706655-protein110.fasta GCF-005706655-protein168.fasta GCF-005706655-protein17.fasta GCF-005706655-protein184.fasta GCF-005706655-protein236.fasta GCF-005706655-protein240.fasta GCF-005706655-protein265.fasta GCF-005706655-protein277.fasta GCF-005706655-protein291.fasta GCF-005706655-protein302.fasta GCF-005706655-protein315.fasta GCF-005706655-protein350.fasta GCF-005706655-protein353.fasta GCF-005706655-protein354.fasta GCF-005706655-protein356.fasta GCF-005706655-protein358.fasta GCF-005706655-protein364.fasta GCF-005706655-protein368.fasta GCF-005706655-protein372.fasta GCF-005706655-protein373.fasta GCF-005706655-protein374.fasta GCF-005706655-protein377.fasta GCF-005706655-protein378.fasta GCF-005706655-protein379.fasta GCF-005706655-protein382.fasta GCF-005706655-protein383.fasta GCF-005706655-protein390.fasta GCF-005706655-protein392.fasta GCF-005706655-protein394.fasta GCF-005706655-protein396.fasta GCF-005706655-protein397.fasta GCF-005706655-protein61.fasta
