Locus	Gene	Start	Length	Product	Allele Count	Alleles	
	EFAU004_00554		575497	1188	FtsW/RodA/SpoVE family cell cycle protein	255	EFAU004_00554.fasta	
	EFAU004_00555		576690	357	ArsC family protein	106	EFAU004_00555.fasta	
	EFAU004_00556		577048	339	glycine cleavage H-protein	63	EFAU004_00556.fasta	
	EFAU004_00557	metN2	577772	1044	ABC transporter ATP-binding protein	198	EFAU004_00557.fasta	
	EFAU004_00559	metQ	579518	849	putative D-methionine-binding lipoprotein MetQ	168	EFAU004_00559.fasta	
	EFAU004_00560		580563	774	ABC transporter ATP-binding protein	174	EFAU004_00560.fasta	
	EFAU004_00561	sufD	581349	1287	FeS assembly protein SufD	277	EFAU004_00561.fasta	
	EFAU004_00562	csd	582632	1236	cysteine desulfurase	269	EFAU004_00562.fasta	
	EFAU004_00564	sufB	584329	1392	FeS assembly protein SufB	423	EFAU004_00564.fasta	
	EFAU004_00583		610425	639	ABC transporter ATP-binding protein	222	EFAU004_00583.fasta	
	EFAU004_00585	prsA	611976	912	putative foldase protein PrsA	239	EFAU004_00585.fasta	
	EFAU004_00587		613635	885	diacylglycerol kinase catalytic subunit	257	EFAU004_00587.fasta	
	EFAU004_00596		623692	228	HxlR-like helix-turn-helix protein	93	EFAU004_00596.fasta	
	EFAU004_00597		624042	327	MazG nucleotide pyrophosphohydrolase	151	EFAU004_00597.fasta	
	EFAU004_00598		624436	714	sortase family protein	230	EFAU004_00598.fasta	
	EFAU004_00599		625459	852	BglG family transcriptional antiterminator	292	EFAU004_00599.fasta	
	EFAU004_00601		626431	1866	PTS system beta-glucoside-specific transporter subunit IIABC	428	EFAU004_00601.fasta	
	EFAU004_00602		628344	1410	6-phospho-beta-glucosidase	186	EFAU004_00602.fasta	
	EFAU004_00603		629861	702	GntR family transcriptional regulator	183	EFAU004_00603.fasta	
	EFAU004_00606		632048	576	putative lysine decarboxylase	205	EFAU004_00606.fasta	
	EFAU004_00607		632623	441	Nucleoside 2-deoxyribosyltransferase	154	EFAU004_00607.fasta	
	EFAU004_00608		633079	702	deoxynucleoside kinase	198	EFAU004_00608.fasta	
	EFAU004_00609		634009	174	hypothetical protein	65	EFAU004_00609.fasta	
	EFAU004_00610		634268	426	hypothetical protein	159	EFAU004_00610.fasta	
	EFAU004_00611		635067	972	LacI family transcriptional regulator	290	EFAU004_00611.fasta	
	EFAU004_00612		636070	1398	putative 6-phospho-beta-glucosidase	377	EFAU004_00612.fasta	
	EFAU004_00613		637626	624	hypothetical protein	224	EFAU004_00613.fasta	
	EFAU004_00616		642139	438	nucleoside diphosphate kinase	140	EFAU004_00616.fasta	
	EFAU004_00617		643265	2649	magnesium-translocating P-type ATPase	513	EFAU004_00617.fasta	
	EFAU004_00618		646000	672	HAD superfamily hydrolase	243	EFAU004_00618.fasta	
	EFAU004_00620	metN1	647318	1074	ABC transporter ATP-binding protein	293	EFAU004_00620.fasta	
	EFAU004_00621		648393	681	ABC transporter permease	192	EFAU004_00621.fasta	
	EFAU004_00622		649090	840	YaeC family lipoprotein	217	EFAU004_00622.fasta	
	EFAU004_00623		649960	1224	peptidase M20D	330	EFAU004_00623.fasta	
	EFAU004_00624		651586	1419	Na+/H+ antiporter	329	EFAU004_00624.fasta	
	EFAU004_00625		653508	444	hypothetical protein	127	EFAU004_00625.fasta	
	EFAU004_00626		654169	1341	amino acid permease	377	EFAU004_00626.fasta	
	EFAU004_00627		655778	897	hypothetical protein	297	EFAU004_00627.fasta	
	EFAU004_00628		656824	942	2-dehydropantoate 2-reductase	268	EFAU004_00628.fasta	
	EFAU004_00629		657891	1122	glycerate kinase	359	EFAU004_00629.fasta	
	EFAU004_00630		659270	1503	ABC transporter ATP-binding protein	424	EFAU004_00630.fasta	
	EFAU004_00631		660839	528	phosphoglycerate mutase family protein	138	EFAU004_00631.fasta	
	EFAU004_00632		661577	1062	hypothetical protein	291	EFAU004_00632.fasta	
	EFAU004_00633	murQ	662641	897	N-acetylmuramic acid 6-phosphate etherase	210	EFAU004_00633.fasta	
	EFAU004_00635	nrdI	665598	447	putative flavoprotein NrdI	146	EFAU004_00635.fasta	
	EFAU004_00636		666255	1425	putative arginine/ornithine antiporter	348	EFAU004_00636.fasta	
	EFAU004_00637		667860	774	ABC transporter protein	213	EFAU004_00637.fasta	
	EFAU004_00639		669689	321	SMR family multidrug resistance protein	90	EFAU004_00639.fasta	
	EFAU004_00640		670483	687	hypothetical protein	179	EFAU004_00640.fasta	
	EFAU004_00641		671171	945	membrane protein	228	EFAU004_00641.fasta	
	EFAU004_00642		672314	645	pyrrolidone-carboxylate peptidase	154	EFAU004_00642.fasta	
	EFAU004_00643		673037	1278	hypothetical protein	328	EFAU004_00643.fasta	
	EFAU004_00644	pnuC	674498	750	nicotinamide mononucleotide transporter PnuC	176	EFAU004_00644.fasta	
	EFAU004_00647		676639	180	hypothetical protein	54	EFAU004_00647.fasta	
	EFAU004_00648		676873	564	GNAT family acetyltransferase	133	EFAU004_00648.fasta	
	EFAU004_00649		677483	516	hypothetical protein	104	EFAU004_00649.fasta	
	EFAU004_00650		678024	870	HAD superfamily hydrolase	198	EFAU004_00650.fasta	
	EFAU004_00651	ung	679019	681	uracil-DNA glycosylase	204	EFAU004_00651.fasta	
	EFAU004_00652		679852	981	phosphate acetyltransferase	181	EFAU004_00652.fasta	
	EFAU004_00654		681421	525	GNAT family acetyltransferase	143	EFAU004_00654.fasta	
	EFAU004_00655		682435	534	exonuclease, DNA polymerase III, epsilon subunit family protein	175	EFAU004_00655.fasta	
	EFAU004_00656		683832	753	exodeoxyribonuclease III	234	EFAU004_00656.fasta	
	EFAU004_00657		684697	921	oxidoreductase family, NAD-binding Rossmann fold protein	290	EFAU004_00657.fasta	
	EFAU004_00658	murB	685690	936	UDP-N-acetylenolpyruvoylglucosamine reductase	221	EFAU004_00658.fasta	
	EFAU004_00662		692340	570	GNAT family acetyltransferase	240	EFAU004_00662.fasta	
	EFAU004_00663		693084	807	hypothetical protein	233	EFAU004_00663.fasta	
	EFAU004_00664		694028	1515	fumarate reductase flavoprotein subunit	405	EFAU004_00664.fasta	
	EFAU004_00665		695945	984	NAD(P)H quinone oxidoreductase	210	EFAU004_00665.fasta	
	EFAU004_00666		696933	648	NAD dependent epimerase/dehydratase family protein	193	EFAU004_00666.fasta	
	EFAU004_00667		697665	633	hypothetical protein	139	EFAU004_00667.fasta	
	EFAU004_00668	coaC	698313	552	phosphopantothenoylcysteine decarboxylase	128	EFAU004_00668.fasta	
	EFAU004_00669		698861	738	phosphopantothenate--cysteine ligase	216	EFAU004_00669.fasta	
	EFAU004_00670		699595	990	YhdH/YhfP family quinone oxidoreductase	258	EFAU004_00670.fasta	
	EFAU004_00671		700842	543	helix-turn-helix domain-containing protein	127	EFAU004_00671.fasta	
	EFAU004_00672	potA	701401	1086	Spermidine/putrescine import ATP-binding protein PotA	214	EFAU004_00672.fasta	
	EFAU004_00673		702498	807	spermidine/putrescine ABC superfamily ATP binding cassette transporter, membrane protein	196	EFAU004_00673.fasta	
	EFAU004_00674	potC	703305	828	spermidine/putrescine transport system permease protein PotC	202	EFAU004_00674.fasta	
	EFAU004_00675		704129	1074	spermidine/putrescine-binding periplasmic protein PotD	255	EFAU004_00675.fasta	
	EFAU004_00689		721056	1131	methionine synthase	318	EFAU004_00689.fasta	
	EFAU004_00691		723563	393	MerR family transcriptional regulator	97	EFAU004_00691.fasta	
	EFAU004_00692	glnA	723983	1341	glutamine synthetase, type I	224	EFAU004_00692.fasta	
	EFAU004_00694	pyrG	726516	1611	CTP synthase	299	EFAU004_00694.fasta	
	EFAU004_00695	fba	728418	870	fructose-bisphosphate aldolase	135	EFAU004_00695.fasta	
	EFAU004_00696	murA1	729452	1272	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	300	EFAU004_00696.fasta	
	EFAU004_00697	rho	730720	1296	transcription termination factor Rho	335	EFAU004_00697.fasta	
	EFAU004_00698	rpmE2	732114	264	50S ribosomal protein L31	62	EFAU004_00698.fasta	
	EFAU004_00703		736700	366	hypothetical protein	85	EFAU004_00703.fasta	
	EFAU004_00704		737213	1209	transporter, major facilitator family protein	227	EFAU004_00704.fasta	
	EFAU004_00705		738440	279	hypothetical protein	47	EFAU004_00705.fasta	
	EFAU004_00706		738871	696	CarD family transcriptional regulator	161	EFAU004_00706.fasta	
	EFAU004_00707		740008	798	hypothetical protein	245	EFAU004_00707.fasta	
	EFAU004_00708		740802	1185	hypothetical protein	339	EFAU004_00708.fasta	
	EFAU004_00709		742011	1248	Putative virion core protein	254	EFAU004_00709.fasta	
	EFAU004_00710		743473	1746	DNA polymerase III subunits gamma and tau	284	EFAU004_00710.fasta	
	EFAU004_00711		745238	315	hypothetical protein	80	EFAU004_00711.fasta	
	EFAU004_00712	recR	745577	597	recombination protein RecR	105	EFAU004_00712.fasta	
	EFAU004_00713	tmk	746237	645	thymidylate kinase	124	EFAU004_00713.fasta	
	EFAU004_00714		746896	330	hypothetical protein	79	EFAU004_00714.fasta	
	EFAU004_00715		747239	939	DNA polymerase III subunit delta'	259	EFAU004_00715.fasta	
	EFAU004_00716		748213	825	stage 0 sporulation family protein	244	EFAU004_00716.fasta	
	EFAU004_00718		749446	873	tetrapyrrole methylase family protein	265	EFAU004_00718.fasta	
	EFAU004_00720		751602	603	anaerobic ribonucleoside-triphosphate reductase activating protein	141	EFAU004_00720.fasta	
	EFAU004_00721		752519	2190	anaerobic ribonucleoside triphosphate reductase	344	EFAU004_00721.fasta	
	EFAU004_00723		755791	2043	efflux ABC transporter permease	507	EFAU004_00723.fasta	
	EFAU004_00724		758114	150	hypothetical protein	41	EFAU004_00724.fasta	
	EFAU004_00725		758274	1515	D-alanine--poly(phosphoribitol) ligase subunit 1	359	EFAU004_00725.fasta	
	EFAU004_00726		759785	1206	membrane bound O-acyl transferase	282	EFAU004_00726.fasta	
	EFAU004_00727	dltC	761035	234	D-alanine--poly(phosphoribitol) ligase subunit 2	53	EFAU004_00727.fasta	
	EFAU004_00729		762680	1083	M42 glutamyl aminopeptidase	211	EFAU004_00729.fasta	
	EFAU004_00730		763762	804	integral membrane protein	192	EFAU004_00730.fasta	
	EFAU004_00731		764635	741	metallo-beta-lactamase domain-containing protein	143	EFAU004_00731.fasta	
	EFAU004_00732		765386	1005	lipoyltransferase and lipoate-protein ligase A	237	EFAU004_00732.fasta	
	EFAU004_00735		769137	684	O-methyltransferase	180	EFAU004_00735.fasta	
	EFAU004_00737		770843	1632	sulfate transporter/STAS domain-containing protein	412	EFAU004_00737.fasta	
	EFAU004_00739	rplU	773459	309	50S ribosomal protein L21	75	EFAU004_00739.fasta	
	EFAU004_00740		773794	345	putative ribosomal protein	57	EFAU004_00740.fasta	
	EFAU004_00741	rpmA	774151	294	50S ribosomal protein L27	50	EFAU004_00741.fasta	
	EFAU004_00743		777876	492	PTS system, mannose/fructose/sorbose-specific IIB component	137	EFAU004_00743.fasta	
	EFAU004_00748		781826	246	transglycosylase associated protein	67	EFAU004_00748.fasta	
	EFAU004_00749		782243	1065	Xaa-Pro dipeptidase	226	EFAU004_00749.fasta	
	EFAU004_00751	nusB	783971	450	transcription antitermination factor NusB	113	EFAU004_00751.fasta	
	EFAU004_00752	folD	784517	855	tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain protein	180	EFAU004_00752.fasta	
	EFAU004_00753	xseA	785372	1338	exodeoxyribonuclease VII large subunit	290	EFAU004_00753.fasta	
	EFAU004_00754		786714	225	exodeoxyribonuclease VII small subunit	43	EFAU004_00754.fasta	
	EFAU004_00755		786940	891	geranyltranstransferase	202	EFAU004_00755.fasta	
	EFAU004_00756		787839	819	hemolysin A	207	EFAU004_00756.fasta	
	EFAU004_00757		788764	450	arginine repressor protein	76	EFAU004_00757.fasta	
	EFAU004_00758	recN	789231	1683	DNA repair protein RecN	346	EFAU004_00758.fasta	
	EFAU004_00759		790968	117	hypothetical protein	40	EFAU004_00759.fasta	
	EFAU004_00760		791157	957	CorA-like Mg2+ transporter protein	247	EFAU004_00760.fasta	
	EFAU004_00761		792284	369	hypothetical protein	118	EFAU004_00761.fasta	
	EFAU004_00762	mraZ	792822	432	cell division protein MraZ	116	EFAU004_00762.fasta	
	EFAU004_00763	mraW	793274	960	S-adenosyl-methyltransferase MraW	194	EFAU004_00763.fasta	
	EFAU004_00764	ftsL	794238	402	cell division protein FtsL	150	EFAU004_00764.fasta	
	EFAU004_00765		794640	2193	peptidoglycan glycosyltransferase	494	EFAU004_00765.fasta	
	EFAU004_00766	mraY	796858	963	phospho-N-acetylmuramoyl-pentapeptide- transferase	248	EFAU004_00766.fasta	
	EFAU004_00767	murD	797834	1362	UDP-N-acetylmuramoylalanine--D-glutamate ligase	348	EFAU004_00767.fasta	
	EFAU004_00768	murG	799221	1089	undecaprenyldiphospho-muramoylpentapeptide beta-N-acetylglucosaminyltransferase	257	EFAU004_00768.fasta	
	EFAU004_00769	ftsQ	800324	1221	cell division protein FtsQ	325	EFAU004_00769.fasta	
	EFAU004_00770	ftsA	801700	1326	cell division protein FtsA	198	EFAU004_00770.fasta	
	EFAU004_00771	ftsZ	803048	1242	cell division protein FtsZ	218	EFAU004_00771.fasta	
	EFAU004_00772		804306	678	alanine racemase	119	EFAU004_00772.fasta	
	EFAU004_00773		804997	600	hypothetical protein	196	EFAU004_00773.fasta	
	EFAU004_00774		805947	783	S4 domain-containing protein	184	EFAU004_00774.fasta	
	EFAU004_00775		806750	708	cell division protein DivIVA	141	EFAU004_00775.fasta	
	EFAU004_00776	ileS	807719	2799	isoleucyl-tRNA synthetase	423	EFAU004_00776.fasta	
	EFAU004_00777		810566	1527	glucose-6-phosphate 1-dehydrogenase	294	EFAU004_00777.fasta	
	EFAU004_00778		812107	648	iron dependent repressor, DNA binding domain protein	134	EFAU004_00778.fasta	
	EFAU004_00779		812938	342	hypothetical protein	122	EFAU004_00779.fasta	
	EFAU004_00781		814188	1014	oxidoreductase family, NAD-binding Rossmann fold protein	240	EFAU004_00781.fasta	
	EFAU004_00782		815201	1278	DEAD/DEAH box helicase	379	EFAU004_00782.fasta	
	EFAU004_00784		818608	636	transcriptional antiterminator bglG/Sigma-54 factor	173	EFAU004_00784.fasta	
	EFAU004_00785		819395	318	PTS system lactose/cellobiose-specific transporter subunit IIB	83	EFAU004_00785.fasta	
	EFAU004_00786		819742	321	PTS system, lactose/cellobiose-specific IIA component	101	EFAU004_00786.fasta	
	EFAU004_00787		820170	1461	PTS system lactose/cellobiose-specific transporter subunit IIC	287	EFAU004_00787.fasta	
	EFAU004_00788		821698	222	hypothetical protein	57	EFAU004_00788.fasta	
	EFAU004_00789		821950	183	hypothetical protein	66	EFAU004_00789.fasta	
	EFAU004_00790		822132	414	hypothetical protein	115	EFAU004_00790.fasta	
	EFAU004_00791		822668	1182	acetyltransferase	324	EFAU004_00791.fasta	
	EFAU004_00792		823920	165	hypothetical protein	86	EFAU004_00792.fasta	
	EFAU004_00870		879917	2037	penicillin binding protein transpeptidase domain protein	948	EFAU004_00870.fasta	
	EFAU004_00871	napA	882062	1152	transporter, monovalent cation:proton antiporter-2 family protein	273	EFAU004_00871.fasta	
	EFAU004_00872		883367	531	hypothetical protein	160	EFAU004_00872.fasta	
	EFAU004_00875	ahpC	886042	564	alkyl hydroperoxide reductase subunit C	155	EFAU004_00875.fasta	
	EFAU004_00876		886749	663	GntR family transcriptional regulator	181	EFAU004_00876.fasta	
	EFAU004_00877		887595	1647	mannitol dehydrogenase protein	461	EFAU004_00877.fasta	
	EFAU004_00882	marR	894606	441	DNA-binding transcriptional repressor MarR	175	EFAU004_00882.fasta	
	EFAU004_00883		895103	411	peroxiredoxin, Ohr family protein	132	EFAU004_00883.fasta	
	EFAU004_00884		895694	435	MerR family transcriptional regulator	134	EFAU004_00884.fasta	
	EFAU004_00887		899333	1260	extracellular solute-binding protein	288	EFAU004_00887.fasta	
	EFAU004_00888		900739	1302	ABC transporter permease	319	EFAU004_00888.fasta	
	EFAU004_00889	mdxG	902043	852	ABC transporter permease	303	EFAU004_00889.fasta	
	EFAU004_00890		902907	816	integral membrane protein	245	EFAU004_00890.fasta	
	EFAU004_00891		903873	1167	cyclopropane-fatty-acyl-phospholipid synthase	277	EFAU004_00891.fasta	
	EFAU004_00892		905269	648	lysis protein	219	EFAU004_00892.fasta	
	EFAU004_00893	pyrDA	906000	945	dihydroorotate dehydrogenase 1A	282	EFAU004_00893.fasta	
	EFAU004_00894		907079	1452	amidase	374	EFAU004_00894.fasta	
	EFAU004_00895		908551	837	family 3 extracellular solute-binding protein	314	EFAU004_00895.fasta	
	EFAU004_00896		909387	660	amino acid ABC transporter, amino acid-binding/permease	185	EFAU004_00896.fasta	
	EFAU004_00897		910172	690	hypothetical protein	178	EFAU004_00897.fasta	
	EFAU004_00898		910867	957	hypothetical protein	256	EFAU004_00898.fasta	
	EFAU004_00899		911867	513	GNAT family acetyltransferase	160	EFAU004_00899.fasta	
	EFAU004_00901	nupC	913272	1182	Na dependent nucleoside transporter, NupC family	298	EFAU004_00901.fasta	
	EFAU004_00902		914689	1509	ATP-dependent Zn protease	333	EFAU004_00902.fasta	
	EFAU004_00903		916356	192	hypothetical protein	54	EFAU004_00903.fasta	
	EFAU004_00905		917660	1074	hypothetical protein	245	EFAU004_00905.fasta	
	EFAU004_00906		918881	519	hypothetical protein	161	EFAU004_00906.fasta	
	EFAU004_00908		919848	936	cation diffusion facilitator family transporter	234	EFAU004_00908.fasta	
	EFAU004_00909		920916	780	putative azaleucine resistance protein AzlC	255	EFAU004_00909.fasta	
	EFAU004_00911		922249	1611	polysaccharide biosynthesis family protein	325	EFAU004_00911.fasta	
	EFAU004_00912		924016	849	EDD domain-containing protein, DegV family	324	EFAU004_00912.fasta	
	EFAU004_00914		926606	480	hypothetical protein	150	EFAU004_00914.fasta	
	EFAU004_00915	clpX	927118	2229	ATP-dependent protease ATP-binding subunit ClpX	527	EFAU004_00915.fasta	
	EFAU004_00916		929475	1644	alpha amylase	344	EFAU004_00916.fasta	
	EFAU004_00917		931191	546	hypothetical protein	190	EFAU004_00917.fasta	
	EFAU004_00919		932234	813	phosphomethylpyrimidine kinase	213	EFAU004_00919.fasta	
	EFAU004_00921	xerC	934826	1032	site-specific tyrosine recombinase XerC-family	223	EFAU004_00921.fasta	
	EFAU004_00922		936581	987	hypothetical protein	270	EFAU004_00922.fasta	
	EFAU004_00936		954072	306	hypothetical protein	88	EFAU004_00936.fasta	
	EFAU004_00945	ldhB	963051	945	L-lactate dehydrogenase	219	EFAU004_00945.fasta	
	EFAU004_00950		968310	411	3-demethylubiquinone-9 3-methyltransferase	138	EFAU004_00950.fasta	
	EFAU004_00951		968837	1164	transcriptional regulator, PSR protein	356	EFAU004_00951.fasta	
	EFAU004_00952		970178	855	shikimate 5-dehydrogenase	263	EFAU004_00952.fasta	
	EFAU004_00953		971311	771	ABC transporter ATP-binding protein	225	EFAU004_00953.fasta	
	EFAU004_00954		972084	882	amino acid or sugar ABC transport system, permease protein	212	EFAU004_00954.fasta	
	EFAU004_00955		972962	1050	ABC transporter substrate binding protein	347	EFAU004_00955.fasta	
	EFAU004_00956		974461	624	hypothetical protein	195	EFAU004_00956.fasta	
	EFAU004_00958		976328	1707	fibronectin-binding protein A	393	EFAU004_00958.fasta	
	EFAU004_00959		978192	903	LysR family transcriptional regulator	225	EFAU004_00959.fasta	
	EFAU004_00960		979091	705	carbonic anhydrase	210	EFAU004_00960.fasta	
	EFAU004_00961		979826	642	HD domain-containing protein	166	EFAU004_00961.fasta	
	EFAU004_00962	pyrE	980807	630	orotate phosphoribosyltransferase	178	EFAU004_00962.fasta	
	EFAU004_00963		981443	717	Orotidine 5'-phosphate decarboxylase	196	EFAU004_00963.fasta	
	EFAU004_00964	pyrDB	982156	933	Dihydroorotate dehydrogenase 1B	215	EFAU004_00964.fasta	
	EFAU004_00965		983085	777	dihydroorotate dehydrogenase, electron transfer subunit	193	EFAU004_00965.fasta	
	EFAU004_00966	carB	983915	3186	carbamoyl-phosphate synthase large subunit	490	EFAU004_00966.fasta	
	EFAU004_00967	carA	987105	1077	carbamoyl-phosphate synthase small subunit	219	EFAU004_00967.fasta	
	EFAU004_00968	pyrC	988186	1281	Dihydroorotase	415	EFAU004_00968.fasta	
	EFAU004_00969	pyrB	989485	927	aspartate carbamoyltransferase	200	EFAU004_00969.fasta	
	EFAU004_00970		990424	1284	uracil permease	280	EFAU004_00970.fasta	
	EFAU004_00971	pyrR	991721	540	pyrimidine operon regulatory protein/uracil phosphoribosyltransferase PyrR	113	EFAU004_00971.fasta	
	EFAU004_00972		992495	912	RluA family pseudouridine synthase	188	EFAU004_00972.fasta	
	EFAU004_00973	lspA	993403	465	lipoprotein signal peptidase	126	EFAU004_00973.fasta	
	EFAU004_00974		993872	699	hypothetical protein	184	EFAU004_00974.fasta	
	EFAU004_00976	fhs2	995090	1671	Formate--tetrahydrofolate ligase	363	EFAU004_00976.fasta	
	EFAU004_00977		996943	234	cold shock domain-containing protein	53	EFAU004_00977.fasta	
	EFAU004_00979		997785	414	ribonuclease HI	140	EFAU004_00979.fasta	
	EFAU004_00980		998236	1149	cation diffusion facilitator family transporter	337	EFAU004_00980.fasta	
	EFAU004_00981		999506	597	integral membrane protein	153	EFAU004_00981.fasta	
	EFAU004_00982	alaS	1000302	2643	alanyl-tRNA synthetase	459	EFAU004_00982.fasta	
	EFAU004_00983		1003332	432	GNAT family acetyltransferase	152	EFAU004_00983.fasta	
	EFAU004_00984		1003808	1350	DEAD/DEAH box helicase	321	EFAU004_00984.fasta	
	EFAU004_00986		1006519	324	hypothetical protein	83	EFAU004_00986.fasta	
	EFAU004_00988		1008443	954	NAD-dependent nucleoside-diphosphate-sugar epimerase	286	EFAU004_00988.fasta	
	EFAU004_00991		1011333	684	HD domain-containing protein	217	EFAU004_00991.fasta	
	EFAU004_00992		1012097	1497	carboxypeptidase Taq metallopeptidase	340	EFAU004_00992.fasta	
	EFAU004_00994		1015403	420	cell division protein DivIVA	104	EFAU004_00994.fasta	
	EFAU004_00995		1015912	540	hypothetical protein	171	EFAU004_00995.fasta	
	EFAU004_00997		1017152	2382	penicillin-binding protein 1A	487	EFAU004_00997.fasta	
	EFAU004_00999		1020489	678	endonuclease III	231	EFAU004_00999.fasta	
	EFAU004_01000		1021173	699	DnaD and phage-associated domain protein	216	EFAU004_01000.fasta	
	EFAU004_01002		1023329	444	MarR family transcriptional regulator	147	EFAU004_01002.fasta	
	EFAU004_01004	nox	1024456	1353	NADH oxidase	253	EFAU004_01004.fasta	
	EFAU004_01005	perR	1026081	447	Fur family transcriptional regulator	124	EFAU004_01005.fasta	
	EFAU004_01006		1026763	927	cysteine synthase A	227	EFAU004_01006.fasta	
	EFAU004_01007		1027829	888	N-acetylmuramoyl-L-alanine amidase	242	EFAU004_01007.fasta	
	EFAU004_01009	tkt	1030029	1998	transketolase	336	EFAU004_01009.fasta	
	EFAU004_01010		1032128	252	hypothetical protein	124	EFAU004_01010.fasta	
	EFAU004_01011	lexA	1032526	624	LexA repressor	136	EFAU004_01011.fasta	
	EFAU004_01012		1033329	219	hypothetical protein	46	EFAU004_01012.fasta	
	EFAU004_01013	apt	1033836	513	adenine phosphoribosyltransferase	114	EFAU004_01013.fasta	
	EFAU004_01014	recJ	1034362	2298	single-stranded-DNA-specific exonuclease RecJ	487	EFAU004_01014.fasta	
	EFAU004_01015		1036801	435	hypothetical protein	129	EFAU004_01015.fasta	
	EFAU004_01016		1037245	789	short chain dehydrogenase/reductase family oxidoreductase	221	EFAU004_01016.fasta	
	EFAU004_01017	rnz	1038030	942	Ribonuclease Z	197	EFAU004_01017.fasta	
	EFAU004_01018		1039148	588	hypothetical protein	129	EFAU004_01018.fasta	
	EFAU004_01019	obg	1039956	1314	Obg family GTPase CgtA	255	EFAU004_01019.fasta	
	EFAU004_01020		1041557	1011	glyceraldehyde 3-phosphate dehydrogenase	181	EFAU004_01020.fasta	
	EFAU004_01021		1042652	936	x-Pro dipeptidyl-peptidase	246	EFAU004_01021.fasta	
	EFAU004_01023		1044826	1095	alpha3-beta1 integrin-binding family protein	220	EFAU004_01023.fasta	
	EFAU004_01024		1046109	762	cyclophilin type peptidyl-prolyl cis-trans isomerase	244	EFAU004_01024.fasta	
	EFAU004_01025	fabZ1	1046985	441	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase	127	EFAU004_01025.fasta	
	EFAU004_01026	fabI	1047645	756	Enoyl-[acyl-carrier-protein] reductase	169	EFAU004_01026.fasta	
	EFAU004_01027	ilvE	1048510	1014	branched-chain amino acid aminotransferase	179	EFAU004_01027.fasta	
	EFAU004_01028		1049688	921	transporter, small conductance mechanosensitive ion channel family protein	238	EFAU004_01028.fasta	
	EFAU004_01030		1051495	519	phosphodiesterase	147	EFAU004_01030.fasta	
	EFAU004_01031		1052014	1356	Ribonuclease PH/Ham1 protein	353	EFAU004_01031.fasta	
	EFAU004_01032	murI	1053372	834	glutamate racemase	206	EFAU004_01032.fasta	
	EFAU004_01033		1054355	657	ABC transporter permease	148	EFAU004_01033.fasta	
	EFAU004_01034		1055027	648	ABC transporter permease	184	EFAU004_01034.fasta	
	EFAU004_01035		1055687	816	putative adhesin/ABC transporter aspartate/glutamate-binding protein	201	EFAU004_01035.fasta	
	EFAU004_01036	glnQ	1056516	738	ABC transporter ATP-binding protein	196	EFAU004_01036.fasta	
	EFAU004_01037	trpS	1057507	1011	Tryptophanyl-tRNA synthetase II	228	EFAU004_01037.fasta	
	EFAU004_01038	pheT	1058687	2421	phenylalanyl-tRNA synthetase subunit beta	406	EFAU004_01038.fasta	
	EFAU004_01039	pheS	1061112	1044	phenylalanyl-tRNA synthetase subunit alpha	214	EFAU004_01039.fasta	
	EFAU004_01040		1062464	342	HxlR-like helix-turn-helix	97	EFAU004_01040.fasta	
	EFAU004_01041		1062874	3723	ATP-dependent helicase/nuclease subunit A	567	EFAU004_01041.fasta	
	EFAU004_01042		1066593	3528	ATP-dependent helicase/deoxyribonuclease subunit B	515	EFAU004_01042.fasta	
	EFAU004_01045		1071820	1467	amino acid/peptide transporter	315	EFAU004_01045.fasta	
	EFAU004_01046		1073673	597	nitroreductase family protein	167	EFAU004_01046.fasta	
	EFAU004_01047		1074327	483	hypothetical protein	141	EFAU004_01047.fasta	
	EFAU004_01048		1074915	198	hypothetical protein	47	EFAU004_01048.fasta	
	EFAU004_01049		1075407	759	hypothetical protein	274	EFAU004_01049.fasta	
	EFAU004_01051		1076921	372	hypothetical protein	97	EFAU004_01051.fasta	
	EFAU004_01052		1077507	186	hypothetical protein	58	EFAU004_01052.fasta	
	EFAU004_01053		1077775	189	hypothetical protein	63	EFAU004_01053.fasta	
	EFAU004_01054		1077987	264	hypothetical protein	77	EFAU004_01054.fasta	
	EFAU004_01058	uspA	1079411	435	universal stress protein UspA	109	EFAU004_01058.fasta	
	EFAU004_01067	uppP	1088809	834	undecaprenyl-diphosphatase	172	EFAU004_01067.fasta	
	EFAU004_01068		1089839	1929	cadmium-translocating P-type ATPase	433	EFAU004_01068.fasta	
	EFAU004_01070		1092830	270	hypothetical protein	71	EFAU004_01070.fasta	
	EFAU004_01071	rpsT	1093499	255	30S ribosomal protein S20	64	EFAU004_01071.fasta	
	EFAU004_01072		1093842	1047	DNA polymerase III subunit delta	272	EFAU004_01072.fasta	
	EFAU004_01077	comEA	1098443	618	competence protein, ComEA	192	EFAU004_01077.fasta	
	EFAU004_01078		1099330	1044	PDZ domain protein	247	EFAU004_01078.fasta	
	EFAU004_01080		1100851	561	RsmD family RNA methyltransferase	175	EFAU004_01080.fasta	
	EFAU004_01083		1102279	1125	hypothetical protein	268	EFAU004_01083.fasta	
